round,passages,links,undefined,endings,cycles,dead,asymmetries
1,54,88,21,5,0,11,0
2,75,125,21,5,0,15,6
3,96,164,32,5,0,33,7
4,128,209,9,6,0,32,9
5,137,226,11,6,0,20,10
6,148,242,1,6,0,0,15
7,149,244,2,6,0,1,15
8,151,248,1,6,0,0,15
9,152,249,0,6,0,0,15
10,157,256,11,6,1,32,9
11,168,276,3,6,0,19,13
12,171,282,5,6,0,21,14
13,176,292,0,6,0,0,14
14,174,281,1,6,0,0,14
15,175,283,0,6,0,0,14
16,186,300,12,6,0,50,10
17,198,317,4,6,0,8,10
18,202,323,5,6,0,11,11
19,207,332,1,6,0,0,11
20,208,333,0,6,0,0,11
FINAL,208,333,0,6,0,0,11
1,208,333,0,6,0,0,11
2,192,308,29,6,0,49,1
3,221,351,7,6,1,19,13
4,228,361,1,6,1,9,13
5,229,363,1,6,1,9,13
6,230,365,0,6,1,9,13
7,239,380,0,6,0,0,16
8,252,392,1,6,0,3,7
9,253,394,1,6,0,0,7
10,254,396,1,6,0,0,7
11,255,398,1,6,0,0,7
12,256,399,1,6,0,1,7
13,259,404,4,6,0,2,7
14,263,412,4,6,0,3,7
15,267,416,2,7,0,3,7
16,269,418,2,7,0,5,7
17,271,422,2,7,1,7,7
18,273,425,0,7,0,2,8
FINAL,273,425,0,7,0,2,8
1,273,425,0,7,0,2,8
2,287,447,3,7,0,4,8
3,290,453,5,7,0,7,8
4,295,462,4,7,0,9,8
5,299,468,1,7,0,0,9
6,300,469,0,7,0,0,10
7,301,475,6,7,0,11,8
8,307,481,1,7,0,6,10
9,308,482,0,7,0,0,10
FINAL,308,482,0,7,0,0,10
1,308,482,0,7,0,0,10
2,309,483,0,7,0,0,9
3,315,491,2,7,0,4,5
4,317,491,0,7,0,6,5
5,328,509,3,7,0,1,6
6,331,513,0,7,0,0,7
7,333,517,0,7,0,0,7
8,335,520,0,7,0,0,8
9,335,519,1,7,0,0,7
10,336,520,1,7,0,1,7
11,337,522,2,7,0,2,7
12,339,526,1,7,0,0,7
13,340,526,0,7,0,0,7
14,350,535,3,7,0,10,4
15,353,540,0,7,0,0,4
16,354,543,1,7,0,0,4
17,355,544,0,7,0,0,5
18,358,545,0,7,0,0,4
19,358,546,1,7,0,4,2
20,359,548,0,7,0,0,4
FINAL,359,548,0,7,0,0,4
1,359,548,0,7,0,0,4
2,360,548,0,7,0,0,4
3,360,551,0,7,0,0,2
4,361,554,0,7,0,0,1
5,361,553,0,7,0,0,0
FINAL,361,553,0,7,0,0,0
